ID,Page,Issue theme,WCAG / standard link,Required change,Test method,Success criteria,Severity (1-5),Effort days,Priority formula,Phase,Owner
T01,All pages,Colour contrast,WCAG 1.4.3 / 1.4.11,Replace blue/grey and low-contrast colour tokens; verify normal text >=4.5:1 and UI component boundaries >=3:1.,Automated contrast scan plus manual sample in light/dark and high-contrast mode.,All text and controls meet WCAG AA contrast; no information is conveyed by colour alone.,5,8,60,0-30 days,UX/UI + Front-end
T02,All pages,Keyboard navigation,WCAG 2.1.1 / 2.4.7 / 2.4.11,"Ensure every control, menu and form is reachable and visible by keyboard; restore focus outline.",Keyboard-only walkthrough across core journeys.,No keyboard trap; focus order logical; focus indicator visible and not obscured.,5,10,52,0-30 days,Front-end + QA
T03,General Intranet Homepage,Skip links and landmarks,WCAG 2.4.1 / 1.3.1,"Add skip-to-main, semantic header/nav/main/footer and accessible page title.",Screen reader rotor/landmark check and keyboard tab order.,Users can bypass repeated content and identify page regions.,4,5,56,0-30 days,Front-end
T04,All pages,Form labels and errors,WCAG 1.3.1 / 3.3.1 / 3.3.2 / 3.3.3,Associate labels/help text/errors programmatically with inputs; provide clear recovery guidance.,Automated labels scan plus NVDA/VoiceOver form completion.,Every input has a visible and programmatic label; errors are announced and actionable.,5,12,44,31-60 days,Front-end + Content
T05,Technology Support,Ticket request journey,WCAG 3.2.4 / 3.3.7 / service UX,"Simplify support ticket form, provide examples, autocomplete and confirmation summary.",Usability test with disabled employee participants; compare completion time and error rate.,>=90% task completion in moderated accessibility test; critical errors below agreed threshold.,5,12,44,31-60 days,Product + Service Desk
T06,HR Portal,Personal/leave/timesheet journeys,WCAG 3.3.8 / 3.3.4 / 2.4.6,"Prioritise HR forms; improve headings, labels, confirmation and reversible submission where appropriate.",Manual screen reader and cognitive walkthrough.,Critical HR tasks can be completed independently with clear review/undo where needed.,5,14,40,31-90 days,HR Product + QA
T07,Training & Learning,Course catalogue and status,WCAG 2.4.5 / 2.4.6 / 1.3.1,"Restructure mandatory training table, filters and course cards with semantic headings and labels.",Screen reader navigation plus browser zoom/reflow testing.,Users can find assigned training and status without relying on visual layout or colour.,5,12,52,31-90 days,L&D Product
T08,All pages,Cognitive load / visual clutter,WCAG 2.4.6 / 3.2.3 / COGA good practice,"Reduce competing notices, animations, dense link lists and unclear calls to action; create content hierarchy.",Heuristic review and user testing with neurodivergent/low-vision employees.,Primary task path is visually prominent; pages pass agreed readability and task success checks.,4,10,40,31-90 days,Content Design
T09,All pages,Accessible link names,WCAG 2.4.4,"Replace 'click here', 'more details' and ambiguous links with descriptive text.",Automated link text report plus screen reader links list.,Links make sense out of context and duplicate labels do not point to different destinations.,4,6,56,0-30 days,Content Owners
T10,All pages,Responsive zoom and reflow,WCAG 1.4.4 / 1.4.10 / 1.4.12,Make layouts reflow to 320px width and support 200% text resize without loss of content/function.,"Browser zoom, mobile width and spacing override test.",No horizontal scrolling for core content; controls remain usable at 200% zoom.,4,8,48,31-60 days,Front-end
T11,All pages,ARIA and semantic markup,WCAG 4.1.2 / 4.1.3,"Remove incorrect ARIA, add accessible names, roles and live-region status only where needed.",Automated accessibility tree checks and manual screen reader validation.,"Controls expose correct role, name, value and status updates.",5,9,56,31-60 days,Front-end
T12,All pages,Accessible search,WCAG 2.4.5 / 3.3.2,"Make search keyboard accessible, labelled, and operable with visible submit/status feedback.",Keyboard + screen reader test; no pointer-only shortcuts.,Search can be initiated and results understood without a mouse.,4,5,60,0-30 days,Front-end
T13,All pages,Accessibility statement and feedback route,Governance / WCAG conformance reporting,"Publish internal accessibility statement, known issues list, contact route and SLA for fixes.",Content review and governance approval.,"Statement is current, owner-named, and linked from all affected portals.",3,4,52,0-30 days,Governance
T14,All pages,Design system governance,Operating model,"Create reusable accessible components, contribution rules, code review checklist and definition of done.",Sample code review and sprint audit.,New work cannot pass done criteria without automated and manual a11y evidence.,4,15,20,61-120 days,Design System Team
T15,All pages,Analytics and incident tagging,Performance measurement,"Add accessibility tags in service desk and analytics events for failed journeys, focus loss, form errors and feedback.",Data quality test in dashboard and ticket taxonomy review.,"Monthly dashboard shows accessibility defects, SLA, task success and employee feedback.",3,8,36,61-120 days,Service Ops + Data
T16,All pages,Training and ownership,Change management,"Train content owners, designers, developers, QA and service desk on role-specific accessibility responsibilities.",Training completion records and practical assessment.,>=95% completion for named owners; sampled content passes checklist.,3,7,40,61-120 days,HR/L&D + Product
